Community Area,Population
1,"53,470"
2,"75,185"
3,"54,001"
4,"46,881"
5,"35,406"
6,"102,584"
7,"65,711"
8,"96,466"
9,"10,856"
10,"32,589"
11,"27,934"
12,"18,568"
13,"13,097"
14,"50,485"
15,"72,581"
16,"55,174"
17,"43,414"
18,"7,406"
19,"78,037"
20,"28,720"
21,"33,327"
22,"77,219"
23,"44,841"
24,"84,660"
25,"97,604"
26,"20,146"
27,"21,745"
28,"62,655"
29,"36,529"
30,"64,000"
31,"35,783"
32,"32,936"
33,"26,324"
34,"9,906"
35,"28,770"
36,"5,181"
37,"3,220"
38,"26,631"
39,"12,982"
40,"18,077"
41,"28,394"
42,"25,743"
43,"42,198"
44,"35,326"
45,"7,033"
46,"30,009"
47,"1,703"
48,"12,664"
49,"41,498"
50,"8,359"
51,"11,555"
52,"25,925"
53,"27,799"
54,"6,565"
55,"9,745"
56,"36,806"
57,"16,592"
58,"41,813"
59,"13,778"
60,"31,893"
61,"42,047"
62,"16,218"
63,"40,699"
64,"28,563"
65,"31,134"
66,"48,376"
67,"32,410"
68,"27,383"
69,"33,003"
70,"41,782"
71,"46,817"
72,"19,969"
73,"28,062"
74,"16,878"
75,"23,900"
76,"10,222"
77,"56,536"